observableId	preequilibrationConditionId	simulationConditionId	measurement	time	observableParameters	noiseParameters	observableTransformation	noiseDistribution	measurementType
Activity		Inhibitor_0	7.68240348241022	5		1	lin	normal	semiquantitative
Activity		Inhibitor_3	7.87610717856578	5		1	lin	normal	semiquantitative
Activity		Inhibitor_10	8.31458694362777	5		1	lin	normal	semiquantitative
Activity		Inhibitor_25	9.13091469917684	5		1	lin	normal	semiquantitative
Activity		Inhibitor_35	8.07849405536742	5		1	lin	normal	semiquantitative
Activity		Inhibitor_50	5.45211611461129	5		1	lin	normal	semiquantitative
Activity		Inhibitor_75	2.69874576106127	5		1	lin	normal	semiquantitative
Activity		Inhibitor_100	1.673154390125	5		1	lin	normal	semiquantitative
Activity		Inhibitor_300	0.392886259997627	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_0	0	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_3	0.744411111757651	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_10	2.31052444293466	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_25	4.23805611211676	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_35	4.6428594963941	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_50	4.83287946040586	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_75	4.89868421035517	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_100	4.91379066100035	5		1	lin	normal	semiquantitative
Ybar		Inhibitor_300	4.92900825318423	5		1	lin	normal	semiquantitative
